303,576,6,1
600,684,1,1
684,787,6,0
855,892,1,1
892,948,4,0
948,993,1,0
993,1039,6,0
1039,1198,1,0
1198,1260,4,0
1834,2333,1,1
2333,2433,6,0
2454,2537,1,1
2537,2827,6,0
2859,2920,6,1
3136,3567,1,1
3650,4154,6,1
4241,4386,3,1
4386,4583,1,0
4627,4752,1,1
4752,4915,6,0
4946,5043,6,1
5043,5300,1,0
5406,5480,1,1
5480,5553,6,0
5654,5785,6,1
5837,5985,1,1
6016,6261,1,1
6365,6533,1,1
6548,6767,1,1
6796,6959,1,1
7011,7201,6,1
7262,7806,1,1
7840,7915,6,1
7959,8365,6,1
9268,9336,1,1
9336,9463,6,0
9488,9750,6,1
9785,9871,1,1
9871,10037,6,0
10059,10460,1,1
12369,12456,1,1
12456,12567,6,0
12819,12899,1,1
12899,13051,6,0
13836,13887,6,1
13907,13968,1,1
13968,14062,6,0
